node_type	display_name	category	subcategory	scope	outputs	output_labels	prop_count	description
trigger.org.onboarding.started	Org Onboarding Started	trigger	provisioning	agency	1		0	Triggers when a super-admin generates an organization via the Onboarding tool and its auto-provisioning begins
trigger.org.payment.failed	Org Payment Failed	trigger	billing	agency	1		1	Triggers when a subscription payment fails for the organization (inert until billing automation is enabled)
trigger.org.plan.downgraded	Org Plan Downgraded	trigger	billing	agency	1		1	Triggers when the organization moves to a lower-priced plan (inert until billing automation is enabled)
trigger.org.plan.upgraded	Org Plan Upgraded	trigger	billing	agency	1		1	Triggers when the organization moves to a higher-priced plan (inert until billing automation is enabled)
trigger.org.provisioning.completed	Org Provisioning Completed	trigger	provisioning	agency	1		0	Triggers when an organization's technical auto-provisioning pass (subaccount / infra / A2P) finishes
trigger.org.restored	Organization Restored	trigger	lifecycle	agency	1		1	Triggers when an archived or deleted organization is restored
trigger.org.scheduled.daily	Org Daily Schedule	trigger	scheduled	agency	1		0	Runs once per day for the organization (agency daily sweep)
trigger.org.service_tier.changed	Org Service Tier Changed	trigger	classification	agency	1		2	Triggers when an organization's service tier changes
trigger.org.subscription.canceled	Org Subscription Canceled	trigger	billing	agency	1		1	Triggers when the organization's Stripe subscription is canceled (inert until billing automation is enabled)
trigger.org.subscription.created	Org Subscription Created	trigger	billing	agency	1		1	Triggers when a Stripe subscription becomes active for the organization (inert until billing automation is enabled)
trigger.org.tag.added	Org Tag Added	trigger	classification	agency	1		1	Triggers when a tag is added to an organization
trigger.org.tag.removed	Org Tag Removed	trigger	classification	agency	1		1	Triggers when a tag is removed from an organization
trigger.org.trial.ending	Org Trial Ending	trigger	billing	agency	1		1	Triggers when the organization's trial is ending within the configured window (inert until a trial scan emits it)
trigger.org.website_provisioned	Org Website Provisioned	trigger	provisioning	agency	1		1	Triggers when a website is auto-provisioned for the organization
trigger.schedule.daily	Daily Trigger	trigger	system	org	1		5	Triggers at a specific time each day
trigger.schedule.hourly	Hourly Trigger	trigger	system	org	1		5	Triggers every X hours
trigger.schedule.inactivity	Inactivity Trigger	trigger	system	org	1		8	Triggers after X days of no activity
trigger.sms.keyword	SMS Keyword Detected	trigger	communication	org	1		5	Triggers when an SMS contains specific keywords
trigger.sms.received	SMS Received	trigger	communication	org	1		5	Triggers when an SMS message is received
trigger.task.added	Task Added	trigger	task	org	1		5	Triggers when a new task is created
trigger.task.completed	Task Completed	trigger	task	org	1		6	Triggers when a task is marked as completed
trigger.task.overdue	Task Overdue	trigger	task	org	1		7	Triggers when a task becomes overdue
trigger.webhook	Webhook	trigger	system	org	1		19	Triggers when a webhook is received
trigger.webhook.raw	Webhook (Raw Passthrough)	trigger	system	org	1		16	Receives a webhook and exposes the entire payload as {{webhook.body.<any.path>}} — no field mapping required
user.assign	Assign User	crm	other	org	1		3	Assign a user to the contact or lead
webhook.saveFiles	Save Webhook Files	crm	contact-actions	org	1		4	Saves files that arrived with the webhook (uploaded as form data, or linked by URL in the payload) to the matched contact's photos or documents, or to the org media library. Handles multiple files at once.
webhook.saveToContact	Save Webhook to Contact	crm	contact-actions	org	1		3	Looks up (or creates) a contact from the incoming webhook payload and saves every body field as a contact custom field — auto-creating any field definitions that don't exist yet.
webhook.send	Send Webhook	integration	api	org	1		8	Send data to a webhook URL
workflow.add	Add to Workflow	logic	flow-control	org	2		6	Add the contact to another workflow with optional input/output variable mapping
workflow.remove	Remove From Workflow	logic	flow-control	org	1		2	Removes the Contact from a specific workflow
